Legal Entity,Investor,Vehicle
Nordvik Infrastructure SWIC Co-invest Vehicle I SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,Nordvik Infrastructure SWIC Co-invest Vehicle I SCSp - GP Interest
Nordvik Infrastructure SWIC Co-invest Vehicle I SCSp,State of Clanholm Dunford State Investment Council,Nordvik Infrastructure SWIC Co-invest Vehicle I SCSp - LP Interest
Nordvik Infrastructure REG GP S.à r.l.,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure REG GP S.à r.l.
Nordvik Infrastructure REG GP S.à r.l.,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure REG GP S.à r.l. - General Partner
Nordvik Infrastructure Regulated Energy Grids SCSp SICAV-RAIF - Compartment A,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure Regulated Energy Grids SCSp SICAV-RAIF - LP interest
Nordvik Infrastructure Regulated Energy Grids SCSp SICAV-RAIF - Compartment A,Nordvik Infrastructure REG GP S.à r.l,Nordvik Infrastructure Regulated Energy Grids SCSp SICAV-RAIF - GP interest
Nordvik Infrastructure Regulated Energy Grids SCSp SICAV-RAIF - Compartment A,Nordvik Infrastructure REG GP S.à r.l,Nordvik Infrastructure Regulated Energy Grids SCSp SICAV-RAIF - LP interest
Nordvik Infrastructure V CN SCSp,NI V Sponsor Investor K/S,Nordvik Infrastructure V CN SCSp - Class B
Nordvik Infrastructure V CN SCSp,NI V Sponsor Investor PD K/S,Nordvik Infrastructure V CN SCSp - Class B
Nordvik Infrastructure V CN SCSp,NI V Sponsor Investor US LP,Nordvik Infrastructure V CN SCSp - Class B
Nordvik Infrastructure V CN SCSp,Nordvik Infrastructure Partners Inc.,Nordvik Infrastructure V CN SCSp - Ordinary Share
Nordvik Infrastructure V CN SCSp,Nordvik Infrastructure V GP S.à r.l.,Nordvik Infrastructure V CN SCSp - Ordinary Share
Nordvik Infrastructure V CN SCSp,Ferrbury Investment Corporation,Nordvik Infrastructure V CN SCSp - Ordinary Share
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Selmere LUQ-Fonden (LUQ2),Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Selmere LUQ-fonden (Second Selgarth National Pension Fund - LUQ2),Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,DOJ Infrastructure 2023,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,THURBURY ASSURANCE VIE,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,THURBURY RETRAITE,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP V EUR Blocker Feeder - Initial Partner
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V EUR Blocker Feeder General Partner
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Havnvik Invest AIF-QUARTHORPE - Institutional Fund Administration 1,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Havnvik Invest SICAV-SIF - Alternatives - Global Denhurst,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Wrenley Investment Pte. Ltd.,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Larchford LUQ-fonden,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Ferrgarth ömsesidig livförsäkring,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Ferrgarth ömsesidig sakförsäkring,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Ferrgarth Tjänstepension AB,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,"HEB-Infrastruktur-Clanthorpe Manager-Fonds III S.C.S., SICAV-RAIF",Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Bramstead Investment Pte. Ltd,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Norfield Kapitalanlagegesellschaft mbh acting for the account of Marhurst,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Kirkvale pensionsstiftelse,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,KUN Tjänstepensionsförsäkring AB (grenberg),Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,LAF Central Value Bramford/Opportunistic Infrastructure Partnership LP,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Gelcombe LAF MET Ltd in its capacity as alternative investment fund manager of NAN Renewable Infrastructure Fund being an exempt unauthorised unit trust scheme,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Tarnvik National Retirement Service,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,National Treasury Management Agency (as aldercombe and manager of the Davmont Marbeck Investment Fund),Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Nethstead Liabilities Fund Limited,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,"Grenbury NI V Investment Trust. No.1(EUR), acting by its trustee, NongHyup Bank",Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,"Grenbury NI V Investment Trust. No.2(KRW), acting by its trustee, NongHyup Bank",Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,"Hollmere B Infrastructure Eddfield Fund III, LP",Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Hollmere HIJ Infrastructure Eddfield Limited,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Stichting Pensioenfonds Denberg Renmont,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,"The Fairwick-zellbeck NIQ Insurance Company, Limited",Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V EUR Blocker Feeder SCSp,Lanmont-Investment-Yardthorpe S.A. acting in its own name and for the account of INFRASTRUKTUR-VEJ-Fonds FCP-FIS,Nordvik Infrastructure V EUR Blocker Feeder SCSp - Class A
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - AIV compartment,PAJ Funds GmbH & Co. KG,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - B compartment
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - AIV compartment,Larchthorpe Holding GmbH,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - B compartment
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - AIV compartment,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Compartment B -  Limited Partner
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - AIV compartment,Nordvik Infrastructure V GP S.à r.l.,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Compartment B - General Partner
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - AIV compartment,Lanmont-Investment-Quarstead mbH acting in its own name for the account of PENBECK Private Markets Fonds - 575B01 Infrastruktur Equity,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - AIV compartment - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,PAJ Funds GmbH & Co. KG,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - B compartment
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,PAJ Funds GmbH & Co. KG,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Larchthorpe Holding GmbH,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - B compartment
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Larchthorpe Holding GmbH,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanfield to Trentholm Fairhurst LP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanfield to Trentholm Lammley LP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanfield to Trentholm Grenford Thurworth LP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanfield to Trentholm Roskworth Merrford LP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanfield to Trentholm Nethbeck Merrford LP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanfield to Trentholm Nethbeck Merrford LP (side car),Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanfield to Trentholm Wrenvale LP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanfield to Trentholm Lanworth & Westcombe LP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanfield to Trentholm Carrworth LP,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Nordvik Infrastructure Partners GP Interests Holding K/S,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Nordvik Infrastructure V GP S.à r.l.,NI V Feeder SCA SICAV-RAIF - General Partner
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Fairley Drayford jerrshaw westdale,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Class A
Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Lanmont-Investment-Quarstead mbH acting in its own name for the account of PENBECK Private Markets Fonds - 575B01 Infrastruktur Equity,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - Ordinary Share
Nordvik Infrastructure V NO SCSp,NI V GP I SCSp,Nordvik Infrastructure V NO SCSp - Class A
Nordvik Infrastructure V NO SCSp,NI V Sponsor Investor K/S,Nordvik Infrastructure V NO SCSp - Class B
Nordvik Infrastructure V NO SCSp,NI V Sponsor Investor PD K/S,Nordvik Infrastructure V NO SCSp - Class B
Nordvik Infrastructure V NO SCSp,NI V Sponsor Investor US K/S,Nordvik Infrastructure V NO SCSp - Class B
Nordvik Infrastructure V NO SCSp,Nordvik Infrastructure V GP S.à r.l.,Nordvik Infrastructure V NO SCSp - Class B
Nordvik Infrastructure V NO SCSp,WID Draymere Funds AS,Nordvik Infrastructure V NO SCSp - Class A
Nordvik Infrastructure V SCSp,Haslwold FAR & Thurberg [Vossmont FAR 21HUT0],NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Haslwold Vie [Vossmont DOK 01WEG0],NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Dunbury Eastbury N.V.,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Ferrvale - Wickstead Pensionskasse,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Roskcombe Finance II Yardthorpe S.à r.l.,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Roskcombe Global Diversified Infrastructure Equity Fund II SCSp,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Roskcombe Global Real Assets and Private Markets Fund S.A. SICAV-RAIF - Roskcombe Global Infrastructure,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Roskcombe Clangarth Infrastrukturfonds GmbH,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Roskcombe Private Markets SCSp SICAV-RAIF-Fennbury I,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Larchberg Insurance Company,NIP V EUR - Larchberg Insurance (Climate)
Nordvik Infrastructure V SCSp,Larchberg Insurance Company,NIP V EUR - Larchberg Insurance(Infrastructure)
Nordvik Infrastructure V SCSp,Larchberg Insurance Company,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"Rendale-POV Fund SCS, SICAV-MAZ - Infrastruktur I",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,LUQ Pension livsforsikringsaktieselskab,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,VEM Infrastrukturfonds GmbH,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,ApS Glanworth,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,ApS HET,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,ApS ZOF,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 11",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 12",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 2 / MOF 201",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 2 / MOF 202",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 22",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 35",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 36",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 37",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 39",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 5",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 7",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 9",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Vorsorgekasse BRACKEN, MOF 1",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"DUNDALE Vorsorgekasse BRACKEN, MOF 2",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Brinshaw. Haldcombe Harrdale Davhurst,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,NI V SP Invest K/S,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,NI V Sponsor Investor F&F K/S,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,NI V Sponsor Investor II K/S,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,NI V Sponsor Investor K/S,NIP V EUR - Class B
Nordvik Infrastructure V SCSp,NI V Sponsor Investor K/S,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,NI V Sponsor Investor PD K/S,NIP V EUR - Class B
Nordvik Infrastructure V SCSp,NI V Sponsor Investor US K/S,NIP V EUR - Class B
Nordvik Infrastructure V SCSp,NI V Sponsor Investor US LP,NIP V EUR - Class B
Nordvik Infrastructure V SCSp,NIP Affiliated Managers ApS,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,NIP Global Energy Transition Aggregator - I,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,NIP Holding 8 ApS,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Gelbeck Investment Fund,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Umbcombe Nethstead Pension Geldale,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"COMPTROLLER OF THE STATE OF CLANHOLM DEZ, AS TRUSTEE OF THE COMMON RETIREMENT FUND",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP V EUR - Initial Partner
Nordvik Infrastructure V SCSp,Nordvik Infrastructure V EUR Blocker Feeder SCSp,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V EUR General Partner
Nordvik Infrastructure V SCSp,Nordvik Infrastructure V USD Blocker Feeder SCSp,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Nordvik Infrastructure V USD Feeder K/S,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Nordvik Infrastructure V USD Feeder SCSp,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Ashwold International S.A. acting on behalf of Ashwold Infrastruktur Tarnmere FCP-FIS - Teilfonds 1,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,XAC SCSp,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,ZAL Infrastructure I AS,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,BEV Private Capital Haslstead GmbH,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,RENVALE SICAV-RAIF - JIB Infrastruktur Teilfonds,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,RENVALE SICAV-RAIF - BAG Infrastruktur Teilfonds,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,VANCOMBE Holding ApS,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,Kelmvale Infra Fonds SCSp SICAV-RAIF,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,KAV Stanbury SCSp SICAV-RAIF,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Umbbeck Invest Kapitalanlagegesellschaft mbH acting for the account of the fund HEB-XUJ-Fonds (grenworth HEB-XUJ 5-Selstead),NIP V EUR - Class A
Nordvik Infrastructure V SCSp,KELMGARTH 2023 GmbH,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Infrastructure Access Portfolio-L 5 SCSp SICAV-RAIF - Teilfonds Impact,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Nethgarth ApS,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Brinbury Lindford GmbH,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Haslley Tjänstepensionsförening,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Kelmley Covwold Wickvale Garrthorpe Nethvale fund,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Garrdale Ormberg Quarworth Garrhurst Central Pension Fund Ltd. (Under Special Management),NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Garrdale Yardwick Pension and Provident Center Cooperative Society Ltd. (Under Special Management),NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"Havcombe Bank Co., Ltd.",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,MOS Private Markets 13 SICAV-RAIF S.C.A.,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,ZIX SCSp,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Lindmere Pension - Pensionskassen for Innstead,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,Cantbury Pension – pensionskassen for innstead,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Brinwick Pension Forsikringsaktieselskab,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,WUW Tarnmont A/S,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,HUV Holding A/S,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Clanwick Private Equity ApS,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,FUN A/S,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Gelcombe Borough Of Wrenthorpe Pension Fund,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"RON-Fonds S.A., SICAV-FIS - RON-Alternatives 2",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Dunwick – The Workers Social Insurance Fund Ltd. (Under Special Management),NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Dunwick - The Workers Social Insurance Fund Ltd. (Under Special Management) on behalf of Chalbury and Wickvale Provident Fund 526,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,MOR Holding ApS,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,Redhurst Board of Investments,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"KEG Bank, Ltd.",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Mutuelle Quarbeck (Chalthorpe Bramberg),NIP V EUR - Class A
Nordvik Infrastructure V SCSp,TAD Private Markets GmbH,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,RIF Global Diversified V K/S,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,RIF Infrastructure Feeder Fund V SCSp,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,JOJ Private Markets GmbH,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Wickmere Alternative Markets SCS SICAV-FIS – Wickmere Alternative Markets VIII,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Wickdale Pensionsforsikringsaktieselskab,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"HIQ Pension, forsikringsaktieselskab",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"MOQ Infra S.C.S., SICAV-RAIF - MOQ Infrastruktur I",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Zellvale II GmbH,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,YARDSHAW NIQ LTD.,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Thurley,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Lammcombe ApS,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Stichting Algemeen Pensioenfonds TOC,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Hollvale Carrford Renewables ApS,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Garrmere Fennfield Trust Bank Limited,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,GOW-Lammmere SCS SICAV-RAIF-HUL 1- GOW-Lammmere I,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Ostwold Bank BRACKEN,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,The Lammdale Development Bank,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"Loswick Steenwold & Caldcombe Kirkhurst Insurance Co., Ltd.",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,BAQ Private Markets GmbH,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,NEX NI V ApS,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,NEX Invest ApS,NIP V EUR - Class C
Nordvik Infrastructure V SCSp,"KELMSTEAD Capital Partners S.A., SICAV-RAIF - Infrastructure Equity Stanthorpe",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Eddcombe Pension Scheme Trustee Limited acting as Trustee of Eddcombe Pension Scheme,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,University of Losthorpe Dunhurst Covdale and NIQ Assurance Scheme,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Wickmere State Retirement Investment Fund,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,"JAK Alternative Investments S.A., SICAV-RAIF, sub-fund I",NIP V EUR - Class A
Nordvik Infrastructure V SCSp,LEN-Havford Global SCA SICAV-SIF - Private Infrastructure,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Aeroven Wind Systems A/S,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,VUW Holding A/S,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Carrbeck Invest ApS,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,XON Alternative Investment Fund I,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,VEX Alternative Investment Fund I,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,Ormley Versicherungs-AG,NIP V EUR - Class A
Nordvik Infrastructure V SCSp,VUB Alternative Investment Fund I,NIP V EUR - Class A
Nordvik Infrastructure V US A USD SCSp,Larchberg Insurance Company,CIV US A USD SCSp - Larchberg Insurance (Infrastructure)
Nordvik Infrastructure V US A USD SCSp,Larchberg Insurance Company,Nordvik Infrastructure V US A USD SCSp - Class A (Climate)
Nordvik Infrastructure V US A USD SCSp,NI V Sponsor Investor US K/S,NIP V US A USD - Initial Partner
Nordvik Infrastructure V US A USD SCSp,NI V Sponsor Investor US K/S,Nordvik Infrastructure V US A USD SCSp - Class B
Nordvik Infrastructure V US A USD SCSp,NI V US Sponsor Investor Inc.,Nordvik Infrastructure V US A USD SCSp - Class B
Nordvik Infrastructure V US A USD SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V US A USD - General Partner
Nordvik Infrastructure V US A USD SCSp,Nordvik Infrastructure V US QFPF EUR SCSp,Nordvik Infrastructure V US A USD SCSp - Class A
Nordvik Infrastructure V US B USD SCSp,Ferrdale Public Employees’ Retirement System,Nordvik Infrastructure V US B USD SCSp - Class A
Nordvik Infrastructure V US B USD SCSp,NI V PD Sponsor Investor K/S,Nordvik Infrastructure V US B USD SCSp - Class B
Nordvik Infrastructure V US B USD SCSp,NI V Sponsor Investor K/S,Nordvik Infrastructure V US B USD SCSp - Class B
Nordvik Infrastructure V US B USD SCSp,NI V Sponsor Investor US K/S,NIP V US B USD - Initial Partner
Nordvik Infrastructure V US B USD SCSp,NI V Sponsor Investor US K/S,Nordvik Infrastructure V US B USD SCSp - Class B
Nordvik Infrastructure V US B USD SCSp,Gelbeck Investment Fund,Nordvik Infrastructure V US B USD SCSp - Class A
Nordvik Infrastructure V US B USD SCSp,"COMPTROLLER OF THE STATE OF CLANHOLM DEZ, AS TRUSTEE OF THE COMMON RETIREMENT FUND",Nordvik Infrastructure V US B USD SCSp - Class A
Nordvik Infrastructure V US B USD SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V US B USD General Partner
Nordvik Infrastructure V US B USD SCSp,Redhurst Board of Investments,Nordvik Infrastructure V US B USD SCSp - Class A
Nordvik Infrastructure V US B USD SCSp,"Non-Landale Portfolio, L.P.",Nordvik Infrastructure V US B USD SCSp - Class A
Nordvik Infrastructure V US B USD SCSp,"Non-Landale Portfolio, L.P.",Nordvik Infrastructure V US B USD SCSp - Class A
Nordvik Infrastructure V US B USD SCSp,State of Clanholm Dunford State Investment Council,Nordvik Infrastructure V US B USD SCSp - Class A
Nordvik Infrastructure V US B USD SCSp,The Innbury Pension Fund,Nordvik Infrastructure V US B USD SCSp - Class A
